OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CITYST_,CITYST_ID,FNODE_1,TNODE_1,LPOLY_1,RPOLY_1,CITYST2_,CITYST2_ID,LTYPE,GDT_ID2,GDT_,RECNUM,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PREFIX,NAME,TYPE,SUFFIX,CFCC,TRACT90_L,TRACT90_R,BLOCK90_L,BLOCK90_R,L_F_IADD,L_T_IADD,R_F_IADD,R_T_IADD,FIPMCD90_L,FIPMCD90_R,FIPPLC90_L,FIPPLC90_R,FULLNAME,PAVE2,ST_FLAG,LINECODE,BLKSTREET,BG_L,BG_R,CTBNABG_L,CTBNABG_R,CITYST_I_1,BLK
1,4,3,1,1,154.692,1,5635,4,3,0,0,5635,9831,1,13001397,23637,0,0,0,0,0, ,LEMOYNE AVE SERVICE, , ,A40,0003,0003,211,212,0,0,0,0,73000,73000,73000,73000,LEMOYNE AVE SERVICE,0,1,15,    0 LEMOYNE AVE SERVICE,2,2,00032,00032,5635, 
2,5,1,1,1,1085.51,2,1,5,1,-1,-1,1,9841,2,12575568,17655,12575568,577,599,576,598, ,7TH NORTH,ST, ,A40,0001,0141,101,221,0,0,0,0,73000,64815,73000, ,SEVENTH NORTH ST,0,1,15,  500 SEVENTH NORTH ST,1,2,00011,01412,1,500
3,6,2,1,1,398.159,3,5634,6,2,0,0,5634,9862,1,12580715,17917,12580715,1601,1699,1600,1698, ,LEMOYNE,AVE, ,A40,0003,0003,210,211,0,0,0,0,73000,73000,73000,73000,LEMOYNE AV,0,1,15, 1600 LEMOYNE AV,2,2,00032,00032,5634,1600
4,7,4,1,2,262.271,4,325,7,4,0,0,325,9879,1,13001395,23636,0,0,0,0,0, ,LEMOYNE AVE SERVICE, , ,A40,0003,0003,211,211,0,0,0,0,73000,73000,73000,73000,LEMOYNE AVE SERVICE,0,1,15,    0 LEMOYNE AVE SERVICE,2,2,00032,00032,325, 
5,7,6,3,1,90.666,5,324,7,6,0,0,324,9880,1,13001394,18758,12580706,1291,1299,1290,1298, ,WADSWORTH,ST, ,A40,0003,0003,205,211,0,0,0,0,73000,73000,73000,73000,WADSWORTH ST,0,1,15, 1200 WADSWORTH ST,2,2,00032,00032,324,1200
6,8,9,1,1,142.902,6,329,8,9,0,0,329,9908,1,12580712,17918,12580712,901,907,900,906, ,CADILLAC,ST, ,A40,0003,0003,212,101,0,0,0,0,73000,73000,73000,73000,CADILLAC ST,0,1,15,  900 CADILLAC ST,2,1,00032,00031,329,900
7,9,4,2,1,731.13,7,330,9,4,0,0,330,9909,1,12580707,18759,12580707,301,399,300,398, ,HARFORD,RD, ,A40,0003,0003,211,212,0,0,0,0,73000,73000,73000,73000,HARFORD RD,0,1,15,  300 HARFORD RD,2,2,00032,00032,330,300
8,11,5,1,1,585.887,8,2,11,5,-1,-1,2,9937,2,12575596,17656,12575596,541,575,542,574, ,7TH NORTH,ST, ,A40,0001,0141,102,222,0,0,0,0,73000,64815,73000, ,SEVENTH NORTH ST,0,1,15,  500 SEVENTH NORTH ST,1,2,00011,01412,2,500
9,12,11,1,1,92.8108,9,3,12,11,-1,-1,3,9956,2,12575598,17657,12575598,537,539,536,540, ,7TH NORTH,ST, ,A40,0001,0141,103,222,0,0,0,0,73000,64815,73000, ,SEVENTH NORTH ST,0,1,15,  500 SEVENTH NORTH ST,1,2,00011,01412,3,500
10,13,9,4,1,307.458,10,331,13,9,0,0,331,9975,1,12580711,17919,12580711,201,299,200,298, ,HARFORD,RD, ,A40,0003,0003,102,101,0,0,0,0,73000,73000,73000,73000,HARFORD RD,0,1,15,  200 HARFORD RD,1,1,00031,00031,331,200
11,15,9,2,4,402.94,11,5642,15,9,0,0,5642,9989,1,12580709,18756,12580709,801,899,800,898, ,CADILLAC,ST, ,A40,0003,0003,211,102,0,0,0,0,73000,73000,73000,73000,CADILLAC ST,0,1,15,  800 CADILLAC ST,2,1,00032,00031,5642,800
12,15,7,3,2,681.496,12,327,15,7,0,0,327,9980,1,12580706,18757,12580706,1201,1289,1200,1288, ,WADSWORTH,ST, ,A40,0003,0003,205,211,0,0,0,0,73000,73000,73000,73000,WADSWORTH ST,0,1,15, 1200 WADSWORTH ST,2,2,00032,00032,327,1200
13,18,6,1,3,932.179,13,326,18,6,0,0,326,10042,1,12580700,17920,12580700,1501,1599,1500,1598, ,LEMOYNE,AVE, ,A40,0003,0003,210,205,0,0,0,0,73000,73000,73000,73000,LEMOYNE AV,0,1,15, 1500 LEMOYNE AV,2,2,00032,00032,326,1500
14,18,10,1,1,504.932,14,323,18,10,0,0,323,10043,1,12580698,17921,12580698,201,299,200,298, ,MERRILL,ST, ,A40,0003,0003,210,210,0,0,0,0,73000,73000,73000,73000,MERRILL ST,0,1,15,  200 MERRILL ST,2,2,00032,00032,323,200
15,19,15,3,7,258.963,15,328,19,15,0,0,328,10052,1,12580705,17922,12580705,701,799,700,798, ,CADILLAC,ST, ,A40,0003,0003,205,106,0,0,0,0,73000,73000,73000,73000,CADILLAC ST,0,1,15,  700 CADILLAC ST,2,1,00032,00031,328,700
16,20,13,4,6,349.932,16,332,20,13,0,0,332,10068,1,12580710,17923,12580710,101,199,100,198, ,CHATHAM,PL, ,A40,0003,0003,102,103,0,0,0,0,73000,73000,73000,73000,CHATHAM PL,0,1,15,  100 CHATHAM PL,1,1,00031,00031,332,100
17,20,15,7,4,294.726,17,5641,20,15,0,0,5641,10069,1,12580708,18754,12580708,1125,1197,1124,1196, ,WADSWORTH,ST, ,A40,0003,0003,106,102,0,0,0,0,73000,73000,73000,73000,WADSWORTH ST,0,1,15, 1100 WADSWORTH ST,1,1,00031,00031,5641,1100
18,21,14,1,1,318.8,18,297,21,14,0,0,297,10092,2,12575601,17924,12575601,1201,1209,1200,1210, ,WOLF,ST, ,A20,0141,0003,222,210,0,0,0,0,64815,73000, ,73000,WOLF ST,0,1,15, 1200 WOLF ST,2,2,01412,00032,297,1200
19,21,12,5,1,577.222,19,296,21,12,0,0,296,10093,2,12575599,17811,12575599,501,535,500,534, ,7TH NORTH,ST, ,A40,0002,0141,101,222,0,0,0,0,73000,64815,73000, ,SEVENTH NORTH ST,0,1,15,  500 SEVENTH NORTH ST,1,2,00021,01412,296,500
