OBJECTID,DateModifi,NYSStreetI,LeftFromAd,LeftToAddr,RightFromA,RightToAdd,CompleteSt,PreModifie,PreDirecti,PreType,SeparatorE,StreetName,PostType,PostDirect,PostModifi,SHIELD,HighwayNum,Navigation,JURISDICTI,FCC,ACC,SPEED,OneWay,FromZlev,ToZlev,FromToDire,ToFromDire,FromToCost,ToFromCost,LeftStateN,RightState,LeftCounty,RightCount,LeftPostal,RightPosta,LeftZipNam,RightZipNa,LeftCityTo,RightCityT,LeftPlaceN,RightPlace,LeftGNIS,RightGNIS,LeftCensus,RightCensu,GeometryAc,GeometrySo,NameSource,AddressSou,Status,CLDXF_PreD,CLDXF_Post,CLDXF_Po_1,Label,CR_USERNAM,CR_DATETIM,AT_USERNAM,AT_DATETIM,SP_USERNAM,SP_DATETIM,USERNAME,LeftCountr,RightCou_1,LeftParity,RightParit,LeftESN,RightESN,Shape_Leng,Shape_STLe,Shape__Length
1,2009-01-02T00:00:00.000Z,477437369,201,225,200,224,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A31,5,35, ,0,0, , ,0.062376,0.062376,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032001063,360670042002002,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,58.7383971521,0,0.000721043964104
2,2009-01-02T00:00:00.000Z,477437378,227,299,226,298,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A31,5,35, ,0,0, , ,0.111169,0.111169,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032001062,360670042002002,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,104.68354694,0,0.001285042272979
3,2009-01-02T00:00:00.000Z,477437366,1,199,2,198,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A31,5,35, ,0,0, , ,0.057715,0.057715,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032001064,360670042002003,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,54.3460691547,0,0.000667066706944
4,2009-01-02T00:00:00.000Z,477437384,551,599,526,598,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.07543343,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002050,360670042001002,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,70.8005600261,0,0.000869089842801
5,2009-01-02T00:00:00.000Z,477437396,601,625,600,624,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.07666582,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002050,360670042001001,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,71.9572574519,0,0.000883198252606
6,2009-01-02T00:00:00.000Z,477437403,627,699,626,698,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.03879907,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002050,360670042001000,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,36.4161628289,0,0.000446979672607
7,2009-01-02T00:00:00.000Z,509998037, , , , ,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.00877167,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002056,360670042002000,T,NYSDOP Orthoimagery,Tele Atlas,Tele Atlas,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,8.23293993659,0,0.000101028570058
8,2009-01-02T00:00:00.000Z,509998031,501,549,452,524,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.07099496,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002050,360670042001003,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,66.6346831613,0,0.000817999130036
9,2009-01-02T00:00:00.000Z,509998040,401,499,400,450,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A30,3,35,FT,0,0, , ,0.15301346,-1,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002056,360670042002000,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z,tfraser,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,143.615883871,0,0.001763002836435
10,2009-01-02T00:00:00.000Z,477437383,301,399,300,398,East Adams Street, ,E, , ,Adams,St, , ,SH,930C, ,12,A31,5,35, ,0,0, , ,0.114631,0.114631,NY,NY,Onondaga,Onondaga,13202,13202,Syracuse,Syracuse,Syracuse,Syracuse, , ,979539,979539,360670032002060,360670042002001,T,NYSDOP Orthoimagery,Tele Atlas,NYSDP Build,Active,East,Street, ,E Adams St, ,1899-12-30T00:00:00.000Z, ,2016-10-14T00:00:00.000Z, ,1899-12-30T00:00:00.000Z, , , , , , , ,107.946580307,0,0.001325092319097
